"","lon","lat","name"
"1",30.2359546,59.9522984,"Akademicheskaya gimnaziya imeni D. K. Faddeyeva SPbGU "
"2",30.3028159,59.9679856,"Akademicheskaya gimnaziya ¹56 "
"3",30.351328,59.9446641,"Prezidentskiy fiziko-matematicheskiy litsey ¹239 "
"4",30.277934,59.943287,"Sankt-Peterburgskiy gubernatorskiy fiziko-matematicheskiy litsey ¹30 "
"5",30.302323,59.991608,"Gimnaziya ¹116 "
"6",30.3685459,59.9367716,"Gimnaziya ¹155 "
"7",30.354683,59.938096,"Gimnaziya ¹171 "
"8",30.3777298,59.8492119,"Gimnaziya ¹205 "
"9",30.242289,59.857204,"Gimnaziya ¹261 "
"10",30.1807536,59.8522004,"Gimnaziya ¹271 "
"11",30.4010534,59.7223742,"Gimnaziya ¹406 "
"12",30.5652979,59.7349183,"Gimnaziya ¹446 "
"13",30.287064,60.00204,"Gimnaziya ¹52"
"14",30.3260966,59.8489185,"Gimnaziya ¹526 "
"15",30.4961254,59.9231782,"Gimnaziya ¹528 "
"16",30.3541606,60.0444252,"Gimnaziya ¹61"
"17",30.2918727,59.9549613,"Gimnaziya ¹610 "
"18",30.2122259,59.9409662,"Gimnaziya ¹642 "
"19",30.3508016,60.0108719,"Gimnaziya ¹652 "
"20",30.206458,59.851896,"Litsey ¹369 "
"21",30.27523,59.897143,"Litsey ¹384 "
"22",30.417606,59.926642,"Litsey ¹533 "
"23",30.3240064,59.9374366,"Shkola ¹222 "
"24",30.2673018,59.9445271,"Shkola ¹29"
"25",30.3892136,59.8523213,"Shkola ¹318 "
"26",30.4869965,59.919037,"Shkola ¹332 "
"27",30.2836872,60.0017492,"Shkola ¹43"
"28",30.266288,60.011548,"Shkola ¹45"
"29",30.6081733,59.744288,"Shkola ¹455 "
"30",30.2659193,60.1090482,"Shkola ¹471 "
"31",30.277934,59.943287,"Litsey Fiziko-tekhnicheskaya shkola"
